age,treatment,event,event_type
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1461.355,Female/40x,1,1
1511.2244444444443,Female/40x,1,1
1511.2244444444443,Female/40x,1,1
1511.2244444444443,Female/40x,1,1
1511.2244444444443,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1585.1091666666666,Female/40x,1,1
1628.9775,Female/40x,1,1
1628.9775,Female/40x,1,1
1628.9775,Female/40x,1,1
1628.9775,Female/40x,1,1
1628.9775,Female/40x,1,1
1676.2088888888889,Female/40x,1,1
1676.2088888888889,Female/40x,1,1
1676.2088888888889,Female/40x,1,1
1676.2088888888889,Female/40x,1,1
1676.2088888888889,Female/40x,1,1
1676.2088888888889,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1752.3697222222222,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1849.4305555555554,Female/40x,1,1
1965.7316666666666,Female/40x,1,1
2089.0930555555556,Female/40x,1,1
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
2136.1377777777775,Female/40x,1,0
237.58055555555555,Male/20x,1,1
741.5074999999999,Male/20x,1,1
741.5074999999999,Male/20x,1,1
789.9766666666667,Male/20x,1,1
909.6838888888889,Male/20x,1,1
956.9480555555555,Male/20x,1,1
1002.1880555555555,Male/20x,1,1
1077.7172222222223,Male/20x,1,1
1077.7172222222223,Male/20x,1,1
1077.7172222222223,Male/20x,1,1
1125.473611111111,Male/20x,1,1
1125.473611111111,Male/20x,1,1
1125.473611111111,Male/20x,1,1
1125.473611111111,Male/20x,1,1
1125.473611111111,Male/20x,1,1
1172.7363888888888,Male/20x,1,1
1172.7363888888888,Male/20x,1,1
1172.7363888888888,Male/20x,1,1
1172.7363888888888,Male/20x,1,1
1172.7363888888888,Male/20x,1,1
