treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi,na_H,na_se,na_ci_lo,na_ci_hi
Female/40x,1585.1091666666666,1611,33,0,0.020484171322160148,0.9795158286778398,0.8327176781002638,0.00047177864803465047,0.8327176781002638,0.008573720253576042,0.8159131864032547,0.8495221697972728,0.18114610465353098,0.010186447182740787,0.16118066817535903,0.20111154113170293
Female/40x,1628.9775,1578,49,0,0.031051964512040557,0.9689480354879595,0.8068601583113456,0.0006678118263988858,0.8068601583113456,0.009068395733681756,0.7890861026733293,0.8246342139493619,0.21219806916557155,0.011110434610236437,0.19042161732950813,0.23397452100163496
Female/40x,1676.2088888888889,1529,60,0,0.03924133420536298,0.960758665794637,0.775197889182058,0.0005255547071172302,0.775197889182058,0.009589630552688971,0.7564022132987877,0.7939935650653284,0.2514394033709345,0.012210915706801962,0.22750600858560266,0.27537279815626636
Female/40x,1752.3697222222222,1469,129,0,0.0878148400272294,0.9121851599727706,0.7071240105540897,0.0020916188696774524,0.7071240105540897,0.010454061948102762,0.6866340491358083,0.7276139719723711,0.3392542433981639,0.014452858352639963,0.3109266410269896,0.3675818457693382
Female/40x,1796.2819444444444,1340,258,0,0.1925373134328358,0.8074626865671641,0.5709762532981529,0.004008516197968142,0.5709762532981529,0.011369597275160792,0.5486918426388377,0.5932606639574681,0.5317915568309997,0.018776838840038678,0.49498895270452387,0.5685941609574755
Female/40x,1849.4305555555554,1082,209,0,0.19316081330868762,0.8068391866913124,0.4606860158311345,0.0028874592328432627,0.4606860158311345,0.01145034964263821,0.4382433305315636,0.4831287011307054,0.7249523701396873,0.02304542656207536,0.6797833340780196,0.7701214062013549
Female/40x,1923.478611111111,873,218,0,0.24971363115693013,0.7502863688430699,0.3456464379947229,0.0067531285106931785,0.3456464379947229,0.010924905049520863,0.324233624097662,0.3670592518917838,0.9746660012966174,0.028585529556766263,0.9186383633653555,1.0306936392278794
Female/40x,1965.7316666666666,655,182,0,0.2778625954198473,0.7221374045801527,0.2496042216358839,0.006848205143127491,0.2496042216358839,0.00994183490911615,0.23011822521401623,0.2690902180577515,1.2525285967164648,0.035232800101209986,1.1834723085180932,1.3215848849148364
Female/40x,2012.8527777777776,473,131,0,0.2769556025369979,0.7230443974630021,0.1804749340369393,0.0042165690106094784,0.1804749340369393,0.008834560708581704,0.16315919504811915,0.19779067302575942,1.5294841992534627,0.0427420170097366,1.445709845914379,1.6132585525925465
Female/40x,2089.0930555555556,342,164,0,0.47953216374269003,0.52046783625731,0.09393139841688654,0.013407863857495199,0.09393139841688654,0.0067016435903281294,0.0807961769798434,0.10706661985392968,2.0090163629961526,0.056824474020597864,1.8976403939157809,2.1203923320765243
Female/40x,2136.1377777777775,178,98,80,0.550561797752809,0.449438202247191,0.04221635883905013,0.016148249720598303,0.04221635883905013,0.004619228932298436,0.033162670131745196,0.051270047546355065,2.559578160748962,0.07951141210743054,2.403735793018398,2.715420528479526
Male/20x,119.625,900,0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Male/20x,164.13055555555556,899,4,0,0.004449388209121246,0.9955506117908788,0.9955506117908788,6.07121689194676e-05,0.9955506117908788,0.00221973932312092,0.9911999227175617,0.9999013008641958,0.004449388209121246,0.002224694104560623,8.898776418242525e-05,0.008809788654060065
Male/20x,237.58055555555555,895,4,0,0.004469273743016759,0.9955307262569832,0.9911012235817576,9.410753326686597e-05,0.9911012235817576,0.0031321626606394017,0.9849621847669043,0.9972402623966108,0.008918661952138005,0.0031532310106256963,0.0027383291713116405,0.01509899473296437
Male/20x,285.17805555555555,891,1,0,0.001122334455667789,0.9988776655443322,0.9899888765294772,2.3890040514190666e-05,0.9899888765294772,0.0033202953748720653,0.9834810975947279,0.9964966554642265,0.010040996407805794,0.003347013659480741,0.0034808496352235416,0.016601143180388047
Male/20x,332.1836111111111,890,4,0,0.0044943820224719105,0.9955056179775281,0.985539488320356,6.0589432173008676e-05,0.985539488320356,0.003981520897326489,0.9777357073615961,0.9933432692791159,0.014535378430277704,0.004031422562536745,0.006633790207705683,0.022436966652849725
Male/20x,406.5283333333333,886,3,0,0.003386004514672686,0.9966139954853274,0.9822024471635151,7.063277780108586e-05,0.9822024471635151,0.004409616343328252,0.9735595991305918,0.9908452951964385,0.01792138294495039,0.004480406611256573,0.009139785986887505,0.02670297990301327
Male/20x,454.54777777777775,883,5,0,0.0056625141562853904,0.9943374858437146,0.9766407119021135,0.00012392208184305834,0.9766407119021135,0.005037526777815091,0.966767159417596,0.9865142643866311,0.02358389710123578,0.005146538323593647,0.013496681986992233,0.033671112215479325
Male/20x,500.37166666666667,878,3,0,0.003416856492027335,0.9965831435079726,0.9733036707452726,4.6880646839023755e-05,0.9733036707452726,0.005376134307095737,0.9627664475033649,0.9838408939871802,0.027000753593263115,0.005511668786485743,0.01619788277175106,0.03780362441477517
Male/20x,573.3805555555556,875,7,0,0.008,0.992,0.9655172413793104,0.00016752408752072624,0.9655172413793104,0.006085568733159066,0.9535895266623187,0.9774449560963021,0.035000753593263115,0.00628660082674082,0.02267901597285111,0.04732249121367512
